scenario,wind_scenario,pv_scenario,hour,time,wind_pu,pv_pu,wind_mw,pv_mw,renewable_mw,purchase_price_yuan_per_kwh,sell_price_yuan_per_kwh,regular_load_mw,production_load_factor,process_load_factor,alk_load_mw,pem_load_mw,ammonia_load_mw,process_load_mw,ammonia_output_t,total_load_mw,production_on,storage_charge_mw,storage_discharge_mw,storage_soc_mwh,curtailment_mw,regular_shed_mw,storage_mode_binary,offgrid_balance_error_mw,mode,storage_capacity_mwh
W1_PV1,1,1,0,0:00-1:00,0.2444,0.0,9.776,0.0,9.776,0.3424,0.3779,1.3698000000000001,0.20255903614457832,0.20255903614457832,4.051180722891567,4.051180722891567,0.30383855421686745,8.4062,0.6076771084337349,9.776,1,0.0,0.0,0.0,0.0,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,1,1:00-2:00,0.2726,0.0,10.904,0.0,10.904,0.3424,0.3779,1.0997999999999999,0.2362457831325301,0.2362457831325301,4.724915662650602,4.724915662650602,0.3543686746987952,9.8042,0.7087373493975904,10.904,1,0.0,0.0,0.0,0.0,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,2,2:00-3:00,0.3788,0.0,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,0.7998000000000001,0.3458361445783133,0.3458361445783133,6.916722891566266,6.916722891566266,0.5187542168674699,14.352200000000002,1.0375084337349398,15.152000000000001,1,0.0,0.0,0.0,0.0,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,3,3:00-4:00,0.3328,0.0,13.312,0.0,13.312,0.3424,0.3779,0.99,0.2969156626506024,0.2969156626506024,5.938313253012048,5.938313253012048,0.44537349397590353,12.322,0.8907469879518071,13.312,1,0.0,0.0,0.0,0.0,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,4,4:00-5:00,0.3768,0.0,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.1802000000000001,0.3347421686746988,0.3347421686746988,6.694843373493976,6.694843373493976,0.5021132530120482,13.8918,1.0042265060240965,15.072,1,0.0,0.0,0.0,0.0,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,5,5:00-6:00,0.4681,0.0,18.724,0.0,18.724,0.3424,0.3779,1.6301999999999999,0.4118987951807229,0.4118987951807229,8.237975903614458,8.237975903614458,0.6178481927710844,17.0938,1.2356963855421688,18.724,1,0.0,0.0,0.0,0.0,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,6,6:00-7:00,0.2407,0.22,9.628,14.08,23.708,0.3424,0.3779,2.5002,0.5110313253012048,0.5110313253012048,10.220626506024095,10.220626506024095,0.7665469879518072,21.207799999999995,1.5330939759036144,23.707999999999995,1,0.0,0.0,0.0,0.0,0.0,0,3.552713678800501e-15,offgrid_storage,5.0
W1_PV1,1,1,7,7:00-8:00,0.5701,0.4,22.804000000000002,25.6,48.404,0.6074,0.3779,3.3701999999999996,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,44.87019999999999,1,0.0,0.0,-0.0,3.53380000000001,0.0,0,3.552713678800501e-15,offgrid_storage,5.0
W1_PV1,1,1,8,8:00-9:00,0.4463,0.58,17.852,37.12,54.971999999999994,0.6074,0.3779,4.0098,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.5098,1,0.0,0.0,-0.0,9.462199999999996,0.0,0,0.0,offgrid_storage,5.0
W1_PV1,1,1,9,9:00-10:00,0.3582,0.72,14.328000000000001,46.08,60.408,0.6074,0.3779,4.199999999999999,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.7,1,0.0,0.0,-0.0,14.707999999999998,0.0,0,0.0,offgrid_storage,5.0
